unique_identifier,region,seoul_metro_area,n_fam_members,n_under_age10,live_toge_couple,both_work,only_man_works,only_woman_works,both_dont_work,GENDER_RESP,AGE_RESP,HOUSE_TYPE,HOUSE_TYPE2,HOUSE_SQ_METER,HOUSE_RENT,HOUSE_RENT2,HOUSEHOLD_INC,TIME_SHORTAGE,WORK_GIVEUP,WORK_GIVEUP2,HOW_TIRED,REASON_TIRED,REASON_TIRED2,SATIS_LIFE,SATIS_LEISURE,SATIS_HOUWORK_DIVISION,GENDER_ROLE,edu_level,working_status,reason_not_working,working_field,position_type,hired_status,working_time,weekly_worktime,week_sidejob_worktime,dayoff_type,health_status
9641,25,N,3,0,N,Y,N,N,N,2,47,2,APT,99,1,OWN,3,2,1,WORK,2,1,WORK,3,3,2,2,5,1,,EDUCATION,expert,5,,28,0,1,3
8173,26,N,2,0,N,Y,N,N,N,2,47,3,SMALL_FLAT,66,2,JEONSE,2,1,6,MOVETIME,2,1,WORK,1,2,2,3,5,1,,EDUCATION,expert,1,2,30,14,5,2
8343,26,N,2,0,N,Y,N,N,N,2,47,2,APT,80,2,JEONSE,8,3,,,2,8,ETC,3,3,3,4,4,1,,EDUCATION,expert,5,,20,0,5,2
10564,34,N,3,0,N,Y,N,N,N,2,47,2,APT,83,1,OWN,5,3,,,2,3,CHI_CARE,4,3,4,3,5,1,,MANUFACTURE,office_worker,1,1,40,0,3,2
2599,11,Y,4,0,Y,N,Y,N,N,1,47,2,APT,108,1,OWN,5,1,1,WORK,2,1,WORK,2,2,1,2,4,1,,WHOLESALE_RETAIL,saler_worker,4,,53,0,1,2
2795,11,Y,3,1,Y,N,Y,N,N,1,47,2,APT,59,1,OWN,8,1,1,WORK,2,1,WORK,2,4,3,3,6,1,,MANUFACTURE,expert,1,1,50,0,1,2
2817,11,Y,4,0,Y,N,Y,N,N,2,47,4,ETC,126,1,OWN,9,4,,,2,5,SOCIALIZING,3,4,3,3,4,3,2,,,,,,,,3
7787,21,N,4,0,Y,N,Y,N,N,1,47,2,APT,60,1,OWN,7,4,,,2,8,ETC,1,1,1,4,4,1,,TRANSPORTATION,skill_own_worker,1,1,40,0,1,1
8005,21,N,3,0,Y,N,Y,N,N,2,47,2,APT,131,1,OWN,6,3,,,2,5,SOCIALIZING,1,2,2,3,5,3,2,,,,,,,,2
8072,21,N,3,0,Y,N,Y,N,N,2,47,2,APT,66,3,RENT_DEPOSIT,3,3,,,2,6,HEALTH,3,3,2,2,3,3,2,,,,,,,,3
3713,22,N,4,1,Y,N,Y,N,N,2,47,2,APT,60,1,OWN,3,2,3,CHI_CARE,2,1,WORK,3,4,2,4,4,3,2,,,,,,,,3
3930,22,N,4,0,Y,N,Y,N,N,1,47,2,APT,112,1,OWN,5,2,6,MOVETIME,2,1,WORK,3,3,3,2,4,1,,ETC,office_worker,1,1,40,0,1,2
4075,22,N,2,0,Y,N,Y,N,N,1,47,2,APT,60,1,OWN,4,3,,,2,1,WORK,3,3,1,2,3,1,,FACILITY_MANA,office_worker,1,1,48,0,2,2
431,23,Y,4,0,Y,N,Y,N,N,2,47,2,APT,115,1,OWN,9,3,,,2,4,HOUSEWORK,2,2,4,3,5,3,1,,,,,,,,2
497,23,Y,4,2,Y,N,Y,N,N,1,47,2,APT,116,2,JEONSE,6,1,1,WORK,2,1,WORK,4,4,3,3,6,1,,PUBLIC,office_worker,1,1,40,0,1,3
580,23,Y,3,0,Y,N,Y,N,N,1,47,2,APT,83,1,OWN,4,1,1,WORK,1,1,WORK,5,5,3,3,3,1,,CONSTRUCTION,skill_own_worker,5,,60,0,3,3
753,23,Y,4,0,Y,N,Y,N,N,2,47,3,SMALL_FLAT,37,1,OWN,5,2,4,HOUSEWORK,1,3,CHI_CARE,3,3,2,3,3,3,1,,,,,,,,5
847,23,Y,4,0,Y,N,Y,N,N,1,47,2,APT,60,3,RENT_DEPOSIT,5,2,1,WORK,2,1,WORK,3,4,4,3,3,1,,CONSTRUCTION,machine_tech,1,1,70,0,4,2
